cn	num
四百三十九	439
四百四十	440
四百四十一	441
四百四十二	442
四百四十三	443
四百四十四	444
四百四十五	445
四百四十六	446
四百四十七	447
四百四十八	448
四百四十九	449
四百五十	450
四百五十一	451
四百五十二	452
四百五十三	453
四百五十四	454
四百五十五	455
四百五十六	456
四百五十七	457
四百五十八	458
四百五十九	459
四百六十	460
四百六十一	461
四百六十二	462
四百六十三	463
四百六十四	464
四百六十五	465
四百六十六	466
四百六十七	467
四百六十八	468
四百六十九	469
四百七十	470
四百七十一	471
四百七十二	472
四百七十三	473
四百七十四	474
四百七十五	475
四百七十六	476
四百七十七	477
四百七十八	478
四百七十九	479
四百八十	480
四百八十一	481
四百八十二	482
四百八十三	483
四百八十四	484
四百八十五	485
四百八十六	486
四百八十七	487
四百八十八	488
四百八十九	489
四百九十	490
四百九十一	491
四百九十二	492
四百九十三	493
四百九十四	494
四百九十五	495
四百九十六	496
四百九十七	497
四百九十八	498
四百九十九	499
五百	500
